"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2016","8,911.14","8,699.71","9,042.36","8,687.75","1.73M","2.89%"
"09/01/2016","8,660.89","8,831.60","8,959.99","8,477.80","1.85M","-2.01%"
"08/01/2016","8,838.38","8,462.91","8,945.17","8,263.36","2.41M","3.97%"
"07/01/2016","8,501.09","8,747.79","9,065.69","8,431.12","2.79M","-2.75%"
"06/01/2016","8,741.10","8,207.25","8,784.95","7,931.23","2.67M","6.63%"
"05/01/2016","8,197.56","8,290.79","8,663.07","7,570.92","2.03M","-1.14%"
"04/01/2016","8,291.70","8,399.18","8,866.01","8,106.07","2.56M","-1.84%"
"03/01/2016","8,447.18","7,183.11","8,541.46","7,038.61","3.04M","17.59%"
"02/01/2016","7,183.68","7,358.75","8,437.16","7,113.07","1.84M","-2.74%"
"01/01/2016","7,385.76","10,598.27","10,602.65","7,037.83","2.37M","-30.42%"
"12/01/2015","10,614.38","9,985.79","10,859.83","9,506.10","3.40M","6.13%"
"11/01/2015","10,001.19","8,946.88","10,772.62","8,837.31","4.34M","8.85%"
"10/01/2015","9,188.27","7,961.00","9,406.35","7,902.55","3.45M","18.90%"
"09/01/2015","7,727.51","7,848.66","8,022.06","7,008.99","2.81M","-2.80%"
"08/01/2015","7,950.46","9,076.07","10,603.36","7,370.21","3.95M","-13.80%"
"07/01/2015","9,223.64","11,264.87","11,641.03","7,951.43","4.16M","-18.96%"
"06/01/2015","11,381.47","13,146.12","15,086.44","10,110.66","3.96M","-12.63%"
"05/01/2015","13,027.21","10,206.21","13,806.21","9,789.18","3.58M","27.96%"
"04/01/2015","10,180.49","8,785.13","10,298.49","8,782.13","3.48M","15.94%"
"03/01/2015","8,780.74","7,187.53","8,859.41","7,172.75","3.15M","22.95%"
"02/01/2015","7,141.89","6,485.16","7,142.26","6,449.57","1.16M","9.09%"
"01/01/2015","6,546.60","6,025.75","6,725.67","5,948.27","1.69M","8.61%"
"12/01/2014","6,027.52","6,478.00","6,678.41","5,945.72","2.40M","-6.96%"
"11/01/2014","6,478.11","6,217.10","6,499.20","5,965.81","1.69M","4.34%"
"10/01/2014","6,208.61","6,146.77","6,284.70","5,899.77","1.62M","1.33%"
"09/01/2014","6,127.13","5,428.57","6,127.13","5,428.57","2.02M","13.02%"
"08/01/2014","5,421.29","5,101.98","5,530.14","5,048.20","1.71M","5.98%"
"07/01/2014","5,115.58","4,889.94","5,115.58","4,806.44","1.57M","4.73%"
"06/01/2014","4,884.40","4,648.93","4,884.40","4,553.96","1.04M","5.08%"
"05/01/2014","4,648.23","4,521.11","4,696.82","4,417.22","809.89K","2.72%"
"04/01/2014","4,525.31","4,626.75","4,877.17","4,411.41","995.12K","-2.33%"
"03/01/2014","4,633.27","4,842.61","4,998.38","4,604.12","1.26M","-4.32%"
"02/01/2014","4,842.52","4,688.68","5,149.06","4,673.21","1.27M","2.71%"
"01/01/2014","4,714.68","4,477.76","4,743.73","4,320.72","1.06M","5.17%"
"12/01/2013","4,482.86","4,497.19","4,534.35","4,266.77","1.15M","-3.46%"
"11/01/2013","4,643.30","4,246.98","4,646.57","4,133.72","1.18M","8.72%"
"10/01/2013","4,270.97","4,476.78","4,695.68","4,142.72","1.21M","-4.46%"
"09/01/2013","4,470.45","4,173.48","4,485.34","4,147.44","1.24M","6.90%"
"08/01/2013","4,181.74","3,904.84","4,306.38","3,904.84","1.36M","7.21%"
"07/01/2013","3,900.49","3,594.87","4,066.01","3,582.40","1.23M","8.28%"
"06/01/2013","3,602.11","4,204.52","4,220.44","3,330.60","801.50K","-14.46%"
"05/01/2013","4,210.97","3,615.23","4,256.53","3,605.87","1.26M","16.08%"
"04/01/2013","3,627.50","3,710.33","3,793.25","3,545.60","714.13K","-2.28%"
"03/01/2013","3,712.22","3,812.45","3,916.14","3,613.20","1.08M","-2.71%"
"02/01/2013","3,815.72","3,632.69","3,818.44","3,593.20","763.69K","4.85%"
"01/01/2013","3,639.19","3,427.27","3,689.91","3,358.30","1.28M","6.82%"
"12/01/2012","3,406.80","2,926.67","3,409.61","2,798.27","926.08K","16.26%"
"11/01/2012","2,930.45","3,343.17","3,424.96","2,880.77","581.25K","-12.34%"
"10/01/2012","3,342.92","3,361.28","3,500.64","3,304.42","573.38K","-0.49%"
"09/01/2012","3,359.22","3,347.03","3,634.01","3,224.68","663.90K","0.13%"
"08/01/2012","3,354.80","3,267.74","3,572.93","3,267.74","723.15K","2.53%"
