time,BTC,DBC - commodities,GLD - gold,IEF - intermediate bonds,SPY - stocks,SVXY,TLT - long term bonds
22/5/2015,240.3480072,15.20942211,115.5999985,83.38148499,177.1730804,90.31999969,89.34018707
26/5/2015,237.1159973,14.91351795,113.9100037,83.89983368,175.2681732,86.80999756,90.8687973
27/5/2015,237.2830048,14.71061325,113.8899994,83.85271454,176.9318848,90.05000305,91.07657623
28/5/2015,237.4080048,14.78670502,114.0199966,83.9312973,176.732193,89.19000244,90.85401154
29/5/2015,237.095993,14.97269917,114.0999985,83.9783783,175.6341553,88.5,91.0542984
1/6/2015,222.9259949,14.93888092,114,83.60784149,175.9918823,89.40000153,90.07566833
2/6/2015,225.8029938,15.11642456,114.4599991,83.02572632,175.8172302,88.04000092,88.8189621
3/6/2015,225.8739929,14.92197418,113.6399994,82.31773376,176.28302,89.5,87.39122009
4/6/2015,224.3240051,14.78670502,112.8399963,82.71890259,174.7940369,86.43000031,88.52896118
5/6/2015,224.9519958,14.85433865,112.2399979,82.12104797,174.4945831,87.81999969,87.45069122
8/6/2015,228.4889984,14.86279297,112.5699997,82.23905945,173.4215088,85.98999786,87.35398865
9/6/2015,229.0480042,15.09951687,112.8199997,81.97161865,173.3965607,87.02999878,86.66241455
10/6/2015,228.8029938,15.15869713,113.7799988,81.65689087,175.4761353,90.76999664,85.90394592
11/6/2015,229.7050018,15.02342606,113.2600021,82.30196381,176.0418854,92.66999817,87.7109375
12/6/2015,229.9819946,14.87124729,113.2300034,82.25476074,174.6941833,91.55000305,87.7109375
15/6/2015,236.822998,14.8036108,113.7300034,82.45146179,173.9456329,87.51999664,87.85223389
16/6/2015,250.8950043,14.84588528,113.3199997,82.76612854,174.8938446,89.11000061,88.54380798
17/6/2015,249.2839966,14.88815784,113.8499985,82.8133316,175.176712,89.33000183,87.85964966
18/6/2015,249.0070038,14.88815784,115.3199997,82.75041962,176.9983521,91.91999817,87.42835999
19/6/2015,244.6060028,14.75288773,115.1200027,83.19093323,176.212616,90.88999939,88.55125427
22/6/2015,246.9900055,14.8036108,113.6399994,82.49077606,177.1153717,94.88999939,86.74420929
23/6/2015,244.2960052,14.9811554,112.8899994,82.23905945,177.2408447,97.40000153,86.22366333
24/6/2015,240.5149994,14.87970161,112.5899963,82.48292542,175.953537,95.44999695,86.96728516
25/6/2015,242.798996,14.89661217,112.4400024,82.27835083,175.4186249,94.59999847,86.66241455
26/6/2015,243.5939941,14.9642477,112.5599976,81.88504791,175.3852081,95.12999725,85.68828583
29/6/2015,257.0639954,14.89661217,113.0699997,82.83692932,171.7072601,79.44000244,87.95628357
30/6/2015,263.071991,15.21787834,112.3700027,82.60878754,172.0667267,79.05999756,87.34658813
1/7/2015,258.6210022,15.03187943,111.9800034,82.17700195,173.4459076,84.73999786,86.16753387
2/7/2015,255.4120026,15.00651932,111.7600021,82.46847534,173.2870483,79.47000122,86.45076752
6/7/2015,269.0299988,14.51616383,112.0599976,83.05155945,172.7939301,77.45999908,88.0530777
7/7/2015,266.2070007,14.43162155,110.7600021,83.27217865,173.8805695,81.51000214,88.88030243
8/7/2015,270.7850037,14.36398411,111.0899963,83.60310364,170.9633026,73.33999634,89.6479187
9/7/2015,269.2279968,14.53307343,111.3600006,83.02010345,171.2726288,72.68000031,87.88170624
10/7/2015,284.8940125,14.60070705,111.4899979,82.44493103,173.4291992,78.08000183,86.48804474
13/7/2015,292.0539856,14.60916233,110.9899979,82.22425842,175.3433228,85.68000031,86.21972656
14/7/2015,287.4639893,14.55843544,110.7399979,82.48428345,176.1040039,86.30999756,86.5029068
15/7/2015,285.82901,14.38934708,110.1600037,82.79943848,176.0455017,86.47000122,87.41962433
16/7/2015,278.0889893,14.3217144,109.7600021,82.76794434,177.4581451,92.48000336,88.02330017
17/7/2015,279.4719849,14.24562359,108.6500015,82.77581024,177.6085968,93.12000275,88.47792816
20/7/2015,278.9809875,14.01735592,105.6999969,82.61035919,177.7005615,93.45999908,88.10521698
21/7/2015,275.8330078,14.07653522,105.3700027,82.83885193,176.9983826,94.16999817,88.58221436
22/7/2015,277.2219849,13.87363052,104.8000031,82.94122314,176.6807861,94.58999634,89.13368225
23/7/2015,276.0490112,13.75527,104.3300018,83.28005981,175.6860199,93.51000214,90.244133
24/7/2015,288.2780151,13.64536285,105.3499985,83.35884857,173.8638611,90.22000122,90.46772003
27/7/2015,293.6239929,13.38327694,104.8600006,83.63461304,172.8524323,85.54000092,90.95218658
28/7/2015,294.427002,13.49318409,105.0199966,83.39824677,174.9756317,91.86000061,90.28890991
29/7/2015,289.5899963,13.53545761,105.1699982,83.28005981,176.179245,93.22000122,89.95352173
30/7/2015,287.7219849,13.48473072,104.2699966,83.37458801,176.2210083,93.94000244,90.64658356
31/7/2015,284.6499939,13.29873276,104.9300003,83.86308289,175.953537,94.01999664,91.31738281
3/8/2015,281.2269897,13.07891846,104.0999985,84.11878204,175.3601074,95.52999878,92.27859497
4/8/2015,285.2179871,13.15500927,104.3099976,83.68476868,175.0173492,94.97000122,91.54663086
5/8/2015,281.8819885,13.10428333,103.9300003,83.36119843,175.5941315,95.83999634,90.85948181
6/8/2015,278.5769958,13.09582806,104.3899994,83.65319061,174.1564178,92.33000183,91.66613007
7/8/2015,279.5849915,13.04510307,104.6500015,83.98466492,173.822052,93.27999878,92.86865997
10/8/2015,264.4700012,13.32409763,105.7200012,83.63742828,176.012085,96.76000214,91.71842194
11/8/2015,270.3859863,13.14655495,106.2600021,84.18978119,174.4239044,92.30999756,93.17486572
12/8/2015,266.3760071,13.10428333,107.75,84.15825653,174.6328888,92.44000244,92.66699982
13/8/2015,264.0799866,13.04510307,106.8600006,83.93729401,174.4155273,93.44000244,92.36824799
14/8/2015,265.6799927,12.96055794,106.8499985,83.85044861,175.0508728,93.66000366,92.58481598
